,
For which he was arrested and sentenced to death.,যাৰ বাবে তেওঁক আটক কৰাৰ লগতে মৃ্ত্যুদণ্ড দিয়া হৈছিল।
"Smile at the Joint Health Director's office in Biswanath: No employee goes inside the office, but why?","বিশ্বনাথৰ যুটীয়া স্বাস্থ্য সঞ্চালকৰ কাৰ্যালয়ত হাঁহাকাৰঃ কাৰ্যালয়ৰ ভিতৰলৈ নাযায় কোনো কৰ্মচাৰী, কিন্তু কিয়"
Damage to the roof of Tezpur.,তেজপুৰৰ ডকাইতৰ তাণ্ডৱ।
"Similarly, today's cabinet approved the decision to set up a youth commission in the state to train students of Assam in various employment-related examinations including medical-engineering.",সেইদৰে মেডিকেল–ইঞ্জিনীয়াৰিঙ্ ধৰি সর্বভাৰতীয় বিভিন্ন নিয়োগ সম্পর্কীয় পৰীক্ষাত অসমৰ ছাত্র–ছাত্রীসকলক প্রশিক্ষণ দিয়াৰ বাবে আজিৰ কেবিনেটে ৰাজ্যখনত যুৱ আয়োগ গঠনৰ সিদ্ধান্তত অনুমোদন জনায়৷
"However, the agreement is likely to be extended to 2024 at a later date.","অৱশ্যে, পৰৱৰ্তী সময়ত এই চুক্তি স্বাক্ষৰ ২০২৪লৈ বৃদ্ধি হোৱাৰ সম্ভাৱনা আছে।"
"At this moment, everyone is praying for the recovery of the mother of Ka Andolan martyr Samson Stafford.",এই মুহূৰ্তত কা আন্দোলনৰ শ্বহীদ ছেমছন ষ্টেফৰ্ডৰ মাতৃ সুস্থ হোৱাতোৱেই সকলোৱে কামনা কৰিছে মনে-প্ৰাণে।
Rhino killed again in Kaziranga,কাজিৰঙাত পুনৰ গঁড় হত্যা
"Among the books donated are biographies of great people, quizzes, honeycombs, new inventions, and books on sadhus.","দান কৰা কিতাপৰ ভিতৰত মহৎ লোকৰ জীৱনী , কুইজ ,মৌচাক, নতুন আবিষ্কাৰ আৰু সাধু কথাৰ কিতাপ আদিৰ সংখ্যাই সৰহ।"
"The number of families of beneficiaries of Jal Jeevan Mission in Assam is 63,35,015.","অসমত জল জীৱন মিছনৰ হিতাধিকাৰীৰ পৰিয়ালৰ সংখ্যা হৈছে ৬৩,৩৫,০১৫টা৷"
Multiple neighbouring states have been trying to assert themselves on Assam's territory.,একাধিক চুবুৰীয়া ৰাজ্যই অসমৰ ভূমিভাগত সঘনে নিজৰ আগ্ৰাসন চলোৱাৰ চেষ্টা কৰি আহিছে।
"However, now there is a shortage of people who teach Bihu dance free of cost.",তদুপৰি এতিয়া বিনা পইচাত বিহুনাচ শিকোৱা লোকৰ অভাৱ।
"He said, one thing about Nav Sharanya's desire to remain an MP - she has many big cases against her including 302, 420, had she not been an MP, even an ordinary police officer would have handcuffed and frisked Sharanya.","তেওঁ কয়, নৱ শৰণীয়াই সাংসদ হৈ থাকিবলৈ ইচ্ছা কৰাৰ এটাই কথা- তেওঁৰ ওপৰত ৩০২, ৪২০ কে ধৰি বহু ডাঙৰ গোচৰ আছে, সাংসদ হৈ নাথাকিলে সাধাৰণ আৰক্ষী বিষয়া এজনেও হেণ্ডকাফ লগাই চোঁচৰাই নিলেহেঁতেন শৰণীয়াক৷"
It was during this investigation that the police managed to arrest the thief along with the bike in a raid on Tuesday night.,এই তদন্তৰ কালতে মঙলবাৰে নিশা আৰক্ষীয়ে অভিযান চলাই বাইকসহ চোৰটোক গ্ৰেপ্তাৰ কৰিবলৈ সক্ষম হয়।
The circle is headed by the president of the much-debated village panchayat in the Binnakandi development block.,চক্ৰটোৰ নেতৃত্ব বহন কৰিছে বিন্নাকান্দি উন্নয়নক খণ্ডৰ বহু বিতৰ্কিত গাঁও পঞ্চায়তৰ সভাপতিয়ে৷
"The chief ministers of Haryana, Puducherry, and Goa have popularity rates below 35%.","হাৰিয়ানা, পুডুচেৰী আৰু গোৱাৰ মুখ্যমন্ত্রীৰ জনপ্রিয়তাৰ হাৰ ৩৫ শতাংশৰ তলত৷"
The US President was welcomed with a folk dance from the country.,দেশৰ লোক নৃত্যৰে আদৰণি মাৰ্কিন ৰাষ্ট্ৰপতিগৰাকীক।
"On behalf of the people of the state, Health Minister Mahanta expressed special gratitude to Prime Minister Narendra Modi and Union Health Minister Mansukh Mandaviya for providing free COVID vaccination to all above 18 years of age and sending COVID vaccines to Assam with special initiative.",’ ১৮ বছৰৰ ঊর্ধ্বৰ সকলোৰে বাবে বিনামূলীয়া ক’ভিড প্রতিষেধক প্রদানৰ সুবিধা আগবঢ়োৱাৰ লগতে অসমলৈ বিশেষ উদ্যোগ লৈ ক’ভিড প্রতিষেধক প্রেৰণৰ বাবে প্রধানমন্ত্রী নৰেন্দ্র মোদী আৰু কেন্দ্রীয় স্বাস্থ্যমন্ত্রী মনসুখ মন্দাভিয়াৰ প্রতি স্বাস্থ্যমন্ত্রী মহন্তই ৰাজ্যবাসীৰ হৈ বিশেষ কৃতজ্ঞতা জ্ঞাপন কৰে৷
